"id","ActivityDate","MVPASession"
"a17aac607d","26/8/2019","[{""start"":720;""end"":721;""duration"":6};{""start"":785;""end"":786;""duration"":6};{""start"":1095;""end"":1099;""duration"":9};{""start"":1105;""end"":1164;""duration"":64};{""start"":1170;""end"":1175;""duration"":10};{""start"":1215;""end"":1222;""duration"":12}]"
"a17aac607d","27/8/2019","[{""start"":1100;""end"":1105;""duration"":10}]"
"a17aac607d","28/8/2019","[{""start"":560;""end"":565;""duration"":10};{""start"":585;""end"":586;""duration"":6}]"
"a17aac607d","31/8/2019","[{""start"":630;""end"":631;""duration"":6}]"
"a17aac607d","30/8/2019","[{""start"":1195;""end"":1205;""duration"":15};{""start"":1290;""end"":1295;""duration"":10}]"
"a17aac607d","29/8/2019","[{""start"":1150;""end"":1164;""duration"":19}]"
"39f2494a99","30/8/2019","[{""start"":520;""end"":521;""duration"":6};{""start"":735;""end"":746;""duration"":16};{""start"":770;""end"":779;""duration"":14}]"
"39f2494a99","28/8/2019","[{""start"":1185;""end"":1186;""duration"":6}]"
"b2acf2d5c8","29/8/2019","[{""start"":0;""end"":1;""duration"":6};{""start"":71;""end"":77;""duration"":11};{""start"":352;""end"":360;""duration"":13};{""start"":380;""end"":400;""duration"":25};{""start"":429;""end"":479;""duration"":55};{""start"":494;""end"":495;""duration"":6};{""start"":550;""end"":565;""duration"":20};{""start"":595;""end"":596;""duration"":6};{""start"":695;""end"":724;""duration"":34};{""start"":775;""end"":779;""duration"":9};{""start"":785;""end"":787;""duration"":7};{""start"":815;""end"":816;""duration"":6};{""start"":822;""end"":846;""duration"":29};{""start"":915;""end"":916;""duration"":6};{""start"":1020;""end"":1021;""duration"":6};{""start"":1030;""end"":1033;""duration"":8};{""start"":1050;""end"":1056;""duration"":11};{""start"":1200;""end"":1206;""duration"":11};{""start"":1385;""end"":1429;""duration"":49}]"
"b2acf2d5c8","31/8/2019","[{""start"":520;""end"":527;""duration"":12};{""start"":555;""end"":563;""duration"":13};{""start"":660;""end"":676;""duration"":21}]"
"b2acf2d5c8","26/8/2019","[{""start"":0;""end"":1;""duration"":6};{""start"":439;""end"":462;""duration"":28};{""start"":558;""end"":563;""duration"":10};{""start"":569;""end"":599;""duration"":35};{""start"":624;""end"":641;""duration"":22};{""start"":682;""end"":691;""duration"":14};{""start"":726;""end"":734;""duration"":13};{""start"":747;""end"":766;""duration"":24};{""start"":773;""end"":792;""duration"":24};{""start"":798;""end"":802;""duration"":9};{""start"":833;""end"":852;""duration"":24};{""start"":865;""end"":868;""duration"":8};{""start"":882;""end"":904;""duration"":27};{""start"":911;""end"":917;""duration"":11};{""start"":926;""end"":952;""duration"":31};{""start"":1013;""end"":1015;""duration"":7};{""start"":1026;""end"":1035;""duration"":14};{""start"":1041;""end"":1072;""duration"":36};{""start"":1084;""end"":1087;""duration"":8};{""start"":1094;""end"":1104;""duration"":15};{""start"":1131;""end"":1140;""duration"":14};{""start"":1147;""end"":1196;""duration"":54};{""start"":1217;""end"":1234;""duration"":22};{""start"":1262;""end"":1265;""duration"":8};{""start"":1324;""end"":1326;""duration"":7};{""start"":1351;""end"":1355;""duration"":9}]"
"b2acf2d5c8","28/8/2019","[{""start"":40;""end"":47;""duration"":12};{""start"":425;""end"":427;""duration"":7};{""start"":435;""end"":436;""duration"":6};{""start"":450;""end"":452;""duration"":7};{""start"":458;""end"":468;""duration"":15};{""start"":654;""end"":680;""duration"":31};{""start"":698;""end"":714;""duration"":21};{""start"":721;""end"":726;""duration"":10};{""start"":743;""end"":754;""duration"":16};{""start"":766;""end"":767;""duration"":6};{""start"":776;""end"":783;""duration"":12};{""start"":804;""end"":818;""duration"":19};{""start"":831;""end"":859;""duration"":33};{""start"":865;""end"":873;""duration"":13};{""start"":887;""end"":901;""duration"":19};{""start"":907;""end"":922;""duration"":20};{""start"":936;""end"":958;""duration"":27};{""start"":973;""end"":980;""duration"":12};{""start"":995;""end"":1010;""duration"":20};{""start"":1031;""end"":1037;""duration"":11};{""start"":1056;""end"":1091;""duration"":40};{""start"":1110;""end"":1116;""duration"":11};{""start"":1153;""end"":1199;""duration"":51};{""start"":1206;""end"":1209;""duration"":8};{""start"":1247;""end"":1252;""duration"":10};{""start"":1260;""end"":1261;""duration"":6};{""start"":1313;""end"":1316;""duration"":8};{""start"":1347;""end"":1349;""duration"":7}]"
"b2acf2d5c8","27/8/2019","[{""start"":0;""end"":2;""duration"":7};{""start"":680;""end"":689;""duration"":14};{""start"":765;""end"":780;""duration"":20};{""start"":824;""end"":843;""duration"":24};{""start"":871;""end"":878;""duration"":12};{""start"":897;""end"":902;""duration"":10};{""start"":918;""end"":919;""duration"":6};{""start"":968;""end"":985;""duration"":22};{""start"":1000;""end"":1029;""duration"":34};{""start"":1056;""end"":1064;""duration"":13};{""start"":1087;""end"":1099;""duration"":17};{""start"":1107;""end"":1115;""duration"":13};{""start"":1153;""end"":1160;""duration"":12};{""start"":1169;""end"":1172;""duration"":8};{""start"":1178;""end"":1181;""duration"":8};{""start"":1201;""end"":1205;""duration"":9};{""start"":1219;""end"":1233;""duration"":19};{""start"":1244;""end"":1245;""duration"":6};{""start"":1255;""end"":1256;""duration"":6};{""start"":1284;""end"":1296;""duration"":17}]"
"b2acf2d5c8","30/8/2019","[{""start"":520;""end"":527;""duration"":12};{""start"":555;""end"":563;""duration"":13};{""start"":660;""end"":676;""duration"":21};{""start"":715;""end"":748;""duration"":38};{""start"":765;""end"":769;""duration"":9};{""start"":910;""end"":918;""duration"":13};{""start"":925;""end"":928;""duration"":8};{""start"":945;""end"":958;""duration"":18};{""start"":1005;""end"":1006;""duration"":6};{""start"":1035;""end"":1047;""duration"":17};{""start"":1125;""end"":1144;""duration"":24};{""start"":1155;""end"":1164;""duration"":14};{""start"":1180;""end"":1181;""duration"":6};{""start"":1190;""end"":1203;""duration"":18};{""start"":1250;""end"":1252;""duration"":7};{""start"":1258;""end"":1259;""duration"":6};{""start"":1310;""end"":1312;""duration"":7};{""start"":1318;""end"":1331;""duration"":18}]"
"b203be9427","28/8/2019","[{""start"":1183;""end"":1235;""duration"":57}]"
"b203be9427","27/8/2019","[{""start"":504;""end"":507;""duration"":8}]"
"b203be9427","26/8/2019","[{""start"":1149;""end"":1150;""duration"":6};{""start"":1157;""end"":1208;""duration"":56}]"
"0673689a5e","30/8/2019","[{""start"":484;""end"":498;""duration"":19};{""start"":560;""end"":561;""duration"":6};{""start"":736;""end"":740;""duration"":9};{""start"":756;""end"":765;""duration"":14};{""start"":778;""end"":801;""duration"":28};{""start"":861;""end"":862;""duration"":6};{""start"":895;""end"":909;""duration"":19};{""start"":984;""end"":987;""duration"":8};{""start"":993;""end"":997;""duration"":9};{""start"":1048;""end"":1050;""duration"":7};{""start"":1058;""end"":1082;""duration"":29};{""start"":1130;""end"":1142;""duration"":17};{""start"":1148;""end"":1149;""duration"":6};{""start"":1294;""end"":1295;""duration"":6}]"
"0673689a5e","27/8/2019","[{""start"":414;""end"":415;""duration"":6};{""start"":458;""end"":465;""duration"":12};{""start"":576;""end"":606;""duration"":35};{""start"":627;""end"":636;""duration"":14};{""start"":737;""end"":752;""duration"":20};{""start"":772;""end"":797;""duration"":30};{""start"":808;""end"":809;""duration"":6};{""start"":906;""end"":908;""duration"":7};{""start"":1146;""end"":1158;""duration"":17};{""start"":1165;""end"":1167;""duration"":7};{""start"":1243;""end"":1244;""duration"":6}]"
